pintu_masuk,tanggal,jumlah_kunjungan,grup_pintu
Adi Sucipto,2025-01-01,6851,Udara
Adi Sucipto,2025-02-01,6295,Udara
Adi Sucipto,2025-03-01,7544,Udara
Adi Sucipto,2025-04-01,7109,Udara
Adi Sucipto,2025-05-01,6757,Udara
Adi Sucipto,2025-06-01,7183,Udara
Adi Sucipto,2025-07-01,6852,Udara
Adi Sucipto,2025-08-01,7135,Udara
Adi Sucipto,2025-09-01,7251,Udara
Adi Sucipto,2025-10-01,7203,Udara
Adi Sucipto,2025-11-01,7762,Udara
Adi Sucipto,2025-12-01,7725,Udara
Tanjung Uban,2025-01-01,24577,Laut
Tanjung Uban,2025-02-01,23284,Laut
Tanjung Uban,2025-03-01,22631,Laut
Tanjung Uban,2025-04-01,23535,Laut
Tanjung Uban,2025-05-01,24014,Laut
Tanjung Uban,2025-06-01,22711,Laut
Tanjung Uban,2025-07-01,23339,Laut
Tanjung Uban,2025-08-01,24166,Laut
Tanjung Uban,2025-09-01,22454,Laut
Tanjung Uban,2025-10-01,23103,Laut
Tanjung Uban,2025-11-01,24493,Laut
Tanjung Uban,2025-12-01,26107,Laut
Bandara Int. Lombok,2025-01-01,6084,Udara
Bandara Int. Lombok,2025-02-01,5342,Udara
Bandara Int. Lombok,2025-03-01,5438,Udara
Bandara Int. Lombok,2025-04-01,5515,Udara
Bandara Int. Lombok,2025-05-01,5541,Udara
Bandara Int. Lombok,2025-06-01,5460,Udara
Bandara Int. Lombok,2025-07-01,5475,Udara
Bandara Int. Lombok,2025-08-01,5766,Udara
Bandara Int. Lombok,2025-09-01,5699,Udara
Bandara Int. Lombok,2025-10-01,5476,Udara
Bandara Int. Lombok,2025-11-01,5661,Udara
Bandara Int. Lombok,2025-12-01,5854,Udara
Ngurah Rai,2025-01-01,545690,Udara
Ngurah Rai,2025-02-01,543362,Udara
Ngurah Rai,2025-03-01,567954,Udara
Ngurah Rai,2025-04-01,569229,Udara
Ngurah Rai,2025-05-01,569805,Udara
Ngurah Rai,2025-06-01,556040,Udara
Ngurah Rai,2025-07-01,561484,Udara
Ngurah Rai,2025-08-01,558856,Udara
Ngurah Rai,2025-09-01,566605,Udara
Ngurah Rai,2025-10-01,543516,Udara
Ngurah Rai,2025-11-01,540379,Udara
Ngurah Rai,2025-12-01,537691,Udara
Tanjung Balai Karimun,2025-01-01,6852,Laut
Tanjung Balai Karimun,2025-02-01,6882,Laut
Tanjung Balai Karimun,2025-03-01,7013,Laut
Tanjung Balai Karimun,2025-04-01,6235,Laut
Tanjung Balai Karimun,2025-05-01,6327,Laut
Tanjung Balai Karimun,2025-06-01,6591,Laut
Tanjung Balai Karimun,2025-07-01,6622,Laut
Tanjung Balai Karimun,2025-08-01,6566,Laut
Tanjung Balai Karimun,2025-09-01,6649,Laut
Tanjung Balai Karimun,2025-10-01,6531,Laut
Tanjung Balai Karimun,2025-11-01,6654,Laut
Tanjung Balai Karimun,2025-12-01,7382,Laut
Supadio,2025-01-01,360,Udara
Supadio,2025-02-01,416,Udara
Supadio,2025-03-01,798,Udara
Supadio,2025-04-01,735,Udara
Supadio,2025-05-01,928,Udara
Supadio,2025-06-01,908,Udara
Supadio,2025-07-01,933,Udara
Supadio,2025-08-01,1523,Udara
Supadio,2025-09-01,1862,Udara
Supadio,2025-10-01,1992,Udara
Supadio,2025-11-01,1872,Udara
Supadio,2025-12-01,1902,Udara
Entikong,2025-01-01,1961,Darat
Entikong,2025-02-01,2249,Darat
Entikong,2025-03-01,2262,Darat
Entikong,2025-04-01,1937,Darat
Entikong,2025-05-01,2102,Darat
Entikong,2025-06-01,2075,Darat
Entikong,2025-07-01,1890,Darat
Entikong,2025-08-01,2133,Darat
Entikong,2025-09-01,1874,Darat
Entikong,2025-10-01,1831,Darat
Entikong,2025-11-01,2050,Darat
Entikong,2025-12-01,3445,Darat
Nanga Badau,2025-01-01,1050,Darat
Nanga Badau,2025-02-01,1050,Darat
Nanga Badau,2025-03-01,1329,Darat
Nanga Badau,2025-04-01,1097,Darat
Nanga Badau,2025-05-01,1151,Darat
Nanga Badau,2025-06-01,1290,Darat
Nanga Badau,2025-07-01,1092,Darat
Nanga Badau,2025-08-01,1152,Darat
Nanga Badau,2025-09-01,1189,Darat
Nanga Badau,2025-10-01,1111,Darat
Nanga Badau,2025-11-01,1161,Darat
Nanga Badau,2025-12-01,1228,Darat
Tanjung Pinang,2025-01-01,7192,Laut
Tanjung Pinang,2025-02-01,7106,Laut
