pintu_masuk,tanggal,jumlah_kunjungan,grup_pintu
Adi Sucipto,2025-01-01,5743,Udara
Adi Sucipto,2025-02-01,6080,Udara
Adi Sucipto,2025-03-01,6790,Udara
Adi Sucipto,2025-04-01,6177,Udara
Adi Sucipto,2025-05-01,6680,Udara
Adi Sucipto,2025-06-01,6611,Udara
Adi Sucipto,2025-07-01,6304,Udara
Adi Sucipto,2025-08-01,7105,Udara
Adi Sucipto,2025-09-01,7227,Udara
Adi Sucipto,2025-10-01,7152,Udara
Adi Sucipto,2025-11-01,7353,Udara
Adi Sucipto,2025-12-01,7390,Udara
Tanjung Uban,2025-01-01,18661,Laut
Tanjung Uban,2025-02-01,17452,Laut
Tanjung Uban,2025-03-01,19364,Laut
Tanjung Uban,2025-04-01,18675,Laut
Tanjung Uban,2025-05-01,18334,Laut
Tanjung Uban,2025-06-01,20345,Laut
Tanjung Uban,2025-07-01,20153,Laut
Tanjung Uban,2025-08-01,19788,Laut
Tanjung Uban,2025-09-01,20965,Laut
Tanjung Uban,2025-10-01,21701,Laut
Tanjung Uban,2025-11-01,21500,Laut
Tanjung Uban,2025-12-01,23053,Laut
Bandara Int. Lombok,2025-01-01,6275,Udara
Bandara Int. Lombok,2025-02-01,5425,Udara
Bandara Int. Lombok,2025-03-01,6014,Udara
Bandara Int. Lombok,2025-04-01,5890,Udara
Bandara Int. Lombok,2025-05-01,5482,Udara
Bandara Int. Lombok,2025-06-01,5346,Udara
Bandara Int. Lombok,2025-07-01,5823,Udara
Bandara Int. Lombok,2025-08-01,5953,Udara
Bandara Int. Lombok,2025-09-01,5565,Udara
Bandara Int. Lombok,2025-10-01,5455,Udara
Bandara Int. Lombok,2025-11-01,5753,Udara
Bandara Int. Lombok,2025-12-01,5893,Udara
Ngurah Rai,2025-01-01,531726,Udara
Ngurah Rai,2025-02-01,530319,Udara
Ngurah Rai,2025-03-01,549525,Udara
Ngurah Rai,2025-04-01,551089,Udara
Ngurah Rai,2025-05-01,563808,Udara
Ngurah Rai,2025-06-01,564853,Udara
Ngurah Rai,2025-07-01,580473,Udara
Ngurah Rai,2025-08-01,581227,Udara
Ngurah Rai,2025-09-01,562716,Udara
Ngurah Rai,2025-10-01,545680,Udara
Ngurah Rai,2025-11-01,543461,Udara
Ngurah Rai,2025-12-01,529773,Udara
Tanjung Balai Karimun,2025-01-01,5530,Laut
Tanjung Balai Karimun,2025-02-01,5300,Laut
Tanjung Balai Karimun,2025-03-01,5281,Laut
Tanjung Balai Karimun,2025-04-01,5044,Laut
Tanjung Balai Karimun,2025-05-01,4958,Laut
Tanjung Balai Karimun,2025-06-01,4980,Laut
Tanjung Balai Karimun,2025-07-01,4971,Laut
Tanjung Balai Karimun,2025-08-01,4996,Laut
Tanjung Balai Karimun,2025-09-01,4998,Laut
Tanjung Balai Karimun,2025-10-01,4991,Laut
Tanjung Balai Karimun,2025-11-01,4995,Laut
Tanjung Balai Karimun,2025-12-01,5042,Laut
Supadio,2025-01-01,0,Udara
Supadio,2025-02-01,0,Udara
Supadio,2025-03-01,0,Udara
Supadio,2025-04-01,0,Udara
Supadio,2025-05-01,0,Udara
Supadio,2025-06-01,0,Udara
Supadio,2025-07-01,0,Udara
Supadio,2025-08-01,0,Udara
Supadio,2025-09-01,0,Udara
Supadio,2025-10-01,0,Udara
Supadio,2025-11-01,0,Udara
Supadio,2025-12-01,0,Udara
Entikong,2025-01-01,2634,Darat
Entikong,2025-02-01,2742,Darat
Entikong,2025-03-01,3071,Darat
Entikong,2025-04-01,2737,Darat
Entikong,2025-05-01,2796,Darat
Entikong,2025-06-01,2832,Darat
Entikong,2025-07-01,2724,Darat
Entikong,2025-08-01,2850,Darat
Entikong,2025-09-01,2798,Darat
Entikong,2025-10-01,2757,Darat
Entikong,2025-11-01,2856,Darat
Entikong,2025-12-01,3252,Darat
Nanga Badau,2025-01-01,853,Darat
Nanga Badau,2025-02-01,763,Darat
Nanga Badau,2025-03-01,973,Darat
Nanga Badau,2025-04-01,802,Darat
Nanga Badau,2025-05-01,823,Darat
Nanga Badau,2025-06-01,878,Darat
Nanga Badau,2025-07-01,861,Darat
Nanga Badau,2025-08-01,839,Darat
Nanga Badau,2025-09-01,845,Darat
Nanga Badau,2025-10-01,880,Darat
Nanga Badau,2025-11-01,885,Darat
Nanga Badau,2025-12-01,925,Darat
Tanjung Pinang,2025-01-01,4895,Laut
Tanjung Pinang,2025-02-01,4550,Laut
Tanjung Pinang,2025-03-01,4790,Laut
Tanjung Pinang,2025-04-01,4187,Laut
Tanjung Pinang,2025-05-01,4502,Laut
Tanjung Pinang,2025-06-01,4494,Laut
Tanjung Pinang,2025-07-01,4592,Laut
Tanjung Pinang,2025-08-01,4397,Laut
Tanjung Pinang,2025-09-01,4685,Laut
Tanjung Pinang,2025-10-01,4299,Laut
Tanjung Pinang,2025-11-01,4701,Laut
Tanjung Pinang,2025-12-01,4455,Laut
Aruk,2025-01-01,2812,Darat
