Tanggal,Pintu Masuk,Jumlah Kunjungan
2010-05-01,Adi Sucipto,5170.0
2010-05-01,A. Pintu Udara,431258.0
2010-05-01,Ngurah Rai,199401.0
2010-05-01,Soekarno-Hatta,183218.0
2010-05-01,Juanda,13459.0
2010-05-01,Husein Sastranegara,8156.0
2010-05-01,Kualanamu,13298.0
2010-05-01,Pintu Udara Lainnya,1648.0
2010-05-01,Minangkabau,2092.0
2010-05-01,Sultan Syarif Kasim II,1131.0
2010-05-01,Sultan Iskandar Muda,
2010-05-01,Ahmad Yani,
2010-05-01,Supadio,
2010-05-01,Hasanuddin,913.0
2010-05-01,Bandara Int. Lombok,1170.0
2010-05-01,Sam Ratulangi,1602.0
2010-05-01,Sultan Badaruddin II,
2010-05-01,Atambua,
2010-05-01,Total,598531.0
2010-05-01,Tanjung Uban,26349.0
2010-05-01,Tanjung Pinang,8474.0
2010-05-01,Tanjung Balai Karimun,8543.0
2010-05-01,Tanjung Benoa,
2010-05-01,Tanjung Mas,
2010-05-01,Pintu Laut Lainnya,4720.0
2010-05-01,C. Pintu Darat,2073.0
2010-05-01,Aruk,
2010-05-01,B. Pintu Laut,132703.0
2010-05-01,Entikong,2073.0
2010-05-01,Nanga Badau,
2010-05-01,Pintu Darat Lainnya,
2010-05-01,Jumlah (A+B+C),566034.0
2010-05-01,Lainnya,32497.0
2010-05-01,Batam,84617.0
2010-05-01,Jayapura,
2010-06-01,Ngurah Rai,224695.0
2010-06-01,Soekarno-Hatta,155951.0
2010-06-01,Kualanamu,15499.0
2010-06-01,Husein Sastranegara,7680.0
2010-06-01,Adi Sucipto,4747.0
2010-06-01,Pintu Udara Lainnya,1648.0
2010-06-01,Sam Ratulangi,1590.0
2010-06-01,Sultan Iskandar Muda,
2010-06-01,Sultan Syarif Kasim II,1642.0
2010-06-01,A. Pintu Udara,434110.0
2010-06-01,Ahmad Yani,
2010-06-01,Supadio,
2010-06-01,Hasanuddin,1093.0
2010-06-01,Bandara Int. Lombok,1585.0
2010-06-01,Minangkabau,2972.0
2010-06-01,Sultan Badaruddin II,
2010-06-01,Juanda,15008.0
2010-06-01,Pintu Laut Lainnya,5035.0
2010-06-01,B. Pintu Laut,147125.0
2010-06-01,Tanjung Uban,29928.0
2010-06-01,Tanjung Pinang,10030.0
2010-06-01,Tanjung Balai Karimun,9413.0
2010-06-01,Tanjung Benoa,
2010-06-01,Tanjung Mas,
2010-06-01,C. Pintu Darat,2099.0
2010-06-01,Batam,92719.0
2010-06-01,Total,611996.0
2010-06-01,Entikong,2099.0
2010-06-01,Aruk,
2010-06-01,Nanga Badau,
2010-06-01,Pintu Darat Lainnya,
2010-06-01,Jumlah (A+B+C),583334.0
2010-06-01,Lainnya,28662.0
2010-06-01,Jayapura,
2010-06-01,Atambua,
2010-07-01,A. Pintu Udara,486783.0
2010-07-01,Ngurah Rai,252110.0
2010-07-01,Soekarno-Hatta,180353.0
2010-07-01,Juanda,15941.0
2010-07-01,Kualanamu,15244.0
2010-07-01,Husein Sastranegara,8409.0
2010-07-01,Adi Sucipto,4576.0
2010-07-01,Sultan Syarif Kasim II,1223.0
2010-07-01,Sam Ratulangi,1776.0
2010-07-01,Minangkabau,2434.0
2010-07-01,Sultan Iskandar Muda,
2010-07-01,Ahmad Yani,
2010-07-01,Supadio,
2010-07-01,Hasanuddin,935.0
2010-07-01,Bandara Int. Lombok,2134.0
2010-07-01,Pintu Udara Lainnya,1648.0
2010-07-01,Sultan Badaruddin II,
2010-07-01,Total,656944.0
2010-07-01,Jayapura,
2010-07-01,Tanjung Uban,27000.0
2010-07-01,Tanjung Pinang,8091.0
2010-07-01,Tanjung Balai Karimun,9237.0
2010-07-01,Tanjung Benoa,
2010-07-01,Tanjung Mas,
2010-07-01,Pintu Laut Lainnya,5088.0
2010-07-01,C. Pintu Darat,2134.0
2010-07-01,B. Pintu Laut,136132.0
2010-07-01,Atambua,
2010-07-01,Entikong,2134.0
2010-07-01,Nanga Badau,
2010-07-01,Pintu Darat Lainnya,
2010-07-01,Jumlah (A+B+C),625049.0
2010-07-01,Lainnya,31895.0
2010-07-01,Batam,86716.0
2010-07-01,Aruk,
2010-08-01,Pintu Udara Lainnya,1648.0
2010-08-01,A. Pintu Udara,431164.0
2010-08-01,Ngurah Rai,243222.0
2010-08-01,Soekarno-Hatta,142050.0
2010-08-01,Juanda,14420.0
2010-08-01,Husein Sastranegara,7218.0
2010-08-01,Adi Sucipto,4188.0
2010-08-01,Sultan Syarif Kasim II,905.0
2010-08-01,Sam Ratulangi,1689.0
2010-08-01,Minangkabau,1180.0
2010-08-01,Sultan Iskandar Muda,
2010-08-01,Ahmad Yani,
2010-08-01,Supadio,
2010-08-01,Hasanuddin,1026.0
2010-08-01,Sultan Badaruddin II,
2010-08-01,Kualanamu,11447.0
2010-08-01,Bandara Int. Lombok,2171.0
2010-08-01,B. Pintu Laut,122624.0
2010-08-01,Jayapura,
2010-08-01,Total,585270.0
2010-08-01,Tanjung Uban,26653.0
2010-08-01,Tanjung Pinang,7093.0
2010-08-01,Tanjung Balai Karimun,6126.0
2010-08-01,Tanjung Benoa,
2010-08-01,Pintu Laut Lainnya,5943.0
2010-08-01,C. Pintu Darat,1874.0
2010-08-01,Tanjung Mas,
2010-08-01,Atambua,
2010-08-01,Entikong,1874.0
2010-08-01,Nanga Badau,
2010-08-01,Pintu Darat Lainnya,
2010-08-01,Jumlah (A+B+C),555662.0
